LOB-RiskID,Program,Tranche,FileName,Program ID,Allocation method,Spend USD 2020,Spend USD 2021,Spend USD 2022,Spend USD 2023,Spend USD 2024,Spend USD 2025,Spend USD 2026
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Indoor - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.004151821887303329,0.004151821887303329,0.004151821887303329,0.004151821887303329,0.004151821887303329,0.004151821887303329,0.004151821887303329
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Outdoor - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.01814196409459267,0.01814196409459267,0.01814196409459267,0.01814196409459267,0.01814196409459267,0.01814196409459267,0.01814196409459267
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Outdoor - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.05128271221543693,0.05128271221543693,0.05128271221543693,0.05128271221543693,0.05128271221543693,0.05128271221543693,0.05128271221543693
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Outdoor - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.04378177922175439,0.04378177922175439,0.04378177922175439,0.04378177922175439,0.04378177922175439,0.04378177922175439,0.04378177922175439
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Outdoor - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.09639015498341905,0.09639015498341905,0.09639015498341905,0.09639015498341905,0.09639015498341905,0.09639015498341905,0.09639015498341905
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Indoor - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.0007493368180040323,0.0007493368180040323,0.0007493368180040323,0.0007493368180040323,0.0007493368180040323,0.0007493368180040323,0.0007493368180040323
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Indoor - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.00210610015364977,0.00210610015364977,0.00210610015364977,0.00210610015364977,0.00210610015364977,0.00210610015364977,0.00210610015364977
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Indoor - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.001865427008514058,0.001865427008514058,0.001865427008514058,0.001865427008514058,0.001865427008514058,0.001865427008514058,0.001865427008514058
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Indoor - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.001817936789537919,0.001817936789537919,0.001817936789537919,0.001817936789537919,0.001817936789537919,0.001817936789537919,0.001817936789537919
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Outdoor - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.01917792329615181,0.01917792329615181,0.01917792329615181,0.01917792329615181,0.01917792329615181,0.01917792329615181,0.01917792329615181
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Outdoor - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.0698436829323235,0.0698436829323235,0.0698436829323235,0.0698436829323235,0.0698436829323235,0.0698436829323235,0.0698436829323235
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Outdoor - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.06077487226672076,0.06077487226672076,0.06077487226672076,0.06077487226672076,0.06077487226672076,0.06077487226672076,0.06077487226672076
GO-LOCDM,Improve Reliability/System Dependability - Gas Services,Riser - Outdoor - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C003,% of Total Cost (specify to the right),0.124257107282506,0.124257107282506,0.124257107282506,0.124257107282506,0.124257107282506,0.124257107282506,0.124257107282506
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Main - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.0115852045914651,0.0115852045914651,0.0115852045914651,0.0115852045914651,0.0115852045914651,0.0115852045914651,0.0115852045914651
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Main - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.01373293433242185,0.01373293433242185,0.01373293433242185,0.01373293433242185,0.01373293433242185,0.01373293433242185,0.01373293433242185
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Main - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.09393982805865117,0.09393982805865117,0.09393982805865117,0.09393982805865117,0.09393982805865117,0.09393982805865117,0.09393982805865117
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Main - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.1741565937470692,0.1741565937470692,0.1741565937470692,0.1741565937470692,0.1741565937470692,0.1741565937470692,0.1741565937470692
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Main - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.01359916087089296,0.01359916087089296,0.01359916087089296,0.01359916087089296,0.01359916087089296,0.01359916087089296,0.01359916087089296
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Main - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.01819425482889972,0.01819425482889972,0.01819425482889972,0.01819425482889972,0.01819425482889972,0.01819425482889972,0.01819425482889972
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Main - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.03278782380760282,0.03278782380760282,0.03278782380760282,0.03278782380760282,0.03278782380760282,0.03278782380760282,0.03278782380760282
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Main - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.04844399787302547,0.04844399787302547,0.04844399787302547,0.04844399787302547,0.04844399787302547,0.04844399787302547,0.04844399787302547
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Service - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.02858074431546611,0.02858074431546611,0.02858074431546611,0.02858074431546611,0.02858074431546611,0.02858074431546611,0.02858074431546611
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Service - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.05039230951297346,0.05039230951297346,0.05039230951297346,0.05039230951297346,0.05039230951297346,0.05039230951297346,0.05039230951297346
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Service - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.07954406842071789,0.07954406842071789,0.07954406842071789,0.07954406842071789,0.07954406842071789,0.07954406842071789,0.07954406842071789
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Service - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.1862585298341073,0.1862585298341073,0.1862585298341073,0.1862585298341073,0.1862585298341073,0.1862585298341073,0.1862585298341073
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Service - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.03053688242619048,0.03053688242619048,0.03053688242619048,0.03053688242619048,0.03053688242619048,0.03053688242619048,0.03053688242619048
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Service - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.0403790263490383,0.0403790263490383,0.0403790263490383,0.0403790263490383,0.0403790263490383,0.0403790263490383,0.0403790263490383
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Service - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.0671570104798441,0.0671570104798441,0.0671570104798441,0.0671570104798441,0.0671570104798441,0.0671570104798441,0.0671570104798441
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Service - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.08297437153086867,0.08297437153086867,0.08297437153086867,0.08297437153086867,0.08297437153086867,0.08297437153086867,0.08297437153086867
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Indoor - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),9.163094222082328e-05,9.163094222082328e-05,9.163094222082328e-05,9.163094222082328e-05,9.163094222082328e-05,9.163094222082328e-05,9.163094222082328e-05
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Indoor - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.0001608581807868472,0.0001608581807868472,0.0001608581807868472,0.0001608581807868472,0.0001608581807868472,0.0001608581807868472,0.0001608581807868472
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Indoor - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),7.453835647939504e-05,7.453835647939504e-05,7.453835647939504e-05,7.453835647939504e-05,7.453835647939504e-05,7.453835647939504e-05,7.453835647939504e-05
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Indoor - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.0001393661769591717,0.0001393661769591717,0.0001393661769591717,0.0001393661769591717,0.0001393661769591717,0.0001393661769591717,0.0001393661769591717
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Outdoor - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.001332115167312896,0.001332115167312896,0.001332115167312896,0.001332115167312896,0.001332115167312896,0.001332115167312896,0.001332115167312896
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Outdoor - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.003765550323379122,0.003765550323379122,0.003765550323379122,0.003765550323379122,0.003765550323379122,0.003765550323379122,0.003765550323379122
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Outdoor - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.001469643774764518,0.001469643774764518,0.001469643774764518,0.001469643774764518,0.001469643774764518,0.001469643774764518,0.001469643774764518
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Outdoor - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.003235574107266544,0.003235574107266544,0.003235574107266544,0.003235574107266544,0.003235574107266544,0.003235574107266544,0.003235574107266544
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Indoor - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),9.346322333603387e-05,9.346322333603387e-05,9.346322333603387e-05,9.346322333603387e-05,9.346322333603387e-05,9.346322333603387e-05,9.346322333603387e-05
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Indoor - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.000262689493294809,0.000262689493294809,0.000262689493294809,0.000262689493294809,0.000262689493294809,0.000262689493294809,0.000262689493294809
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Indoor - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),5.939176477354371e-05,5.939176477354371e-05,5.939176477354371e-05,5.939176477354371e-05,5.939176477354371e-05,5.939176477354371e-05,5.939176477354371e-05
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Indoor - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),5.787976355258913e-05,5.787976355258913e-05,5.787976355258913e-05,5.787976355258913e-05,5.787976355258913e-05,5.787976355258913e-05,5.787976355258913e-05
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Outdoor - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.002392022499206648,0.002392022499206648,0.002392022499206648,0.002392022499206648,0.002392022499206648,0.002392022499206648,0.002392022499206648
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Outdoor - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.008711457357590775,0.008711457357590775,0.008711457357590775,0.008711457357590775,0.008711457357590775,0.008711457357590775,0.008711457357590775
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Outdoor - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.001934960146568524,0.001934960146568524,0.001934960146568524,0.001934960146568524,0.001934960146568524,0.001934960146568524,0.001934960146568524
GO-LOCDM,Improve Reliability/Dependability - Gas Valves,Riser - Outdoor - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C004,% of Total Cost (specify to the right),0.003956117743273238,0.003956117743273238,0.003956117743273238,0.003956117743273238,0.003956117743273238,0.003956117743273238,0.003956117743273238
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Main - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.00925017155251693,0.00925017155251693,0.00925017155251693,0.00925017155251693,0.00925017155251693,0.00925017155251693,0.00925017155251693
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Main - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.006455103498120653,0.006455103498120653,0.006455103498120653,0.006455103498120653,0.006455103498120653,0.006455103498120653,0.006455103498120653
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Main - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.0750059714781934,0.0750059714781934,0.0750059714781934,0.0750059714781934,0.0750059714781934,0.0750059714781934,0.0750059714781934
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Main - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.08186151701485833,0.08186151701485833,0.08186151701485833,0.08186151701485833,0.08186151701485833,0.08186151701485833,0.08186151701485833
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Main - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.02375182518073153,0.02375182518073153,0.02375182518073153,0.02375182518073153,0.02375182518073153,0.02375182518073153,0.02375182518073153
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Main - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.03350347486831683,0.03350347486831683,0.03350347486831683,0.03350347486831683,0.03350347486831683,0.03350347486831683,0.03350347486831683
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Main - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.05726608182139055,0.05726608182139055,0.05726608182139055,0.05726608182139055,0.05726608182139055,0.05726608182139055,0.05726608182139055
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Main - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.08920630608524098,0.08920630608524098,0.08920630608524098,0.08920630608524098,0.08920630608524098,0.08920630608524098,0.08920630608524098
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Service - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.02282020882146982,0.02282020882146982,0.02282020882146982,0.02282020882146982,0.02282020882146982,0.02282020882146982,0.02282020882146982
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Service - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.02368667653551709,0.02368667653551709,0.02368667653551709,0.02368667653551709,0.02368667653551709,0.02368667653551709,0.02368667653551709
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Service - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.0635117207527652,0.0635117207527652,0.0635117207527652,0.0635117207527652,0.0635117207527652,0.0635117207527652,0.0635117207527652
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Service - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.08754997718502328,0.08754997718502328,0.08754997718502328,0.08754997718502328,0.08754997718502328,0.08754997718502328,0.08754997718502328
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Service - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.05333466526628443,0.05333466526628443,0.05333466526628443,0.05333466526628443,0.05333466526628443,0.05333466526628443,0.05333466526628443
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Service - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.07435521307216508,0.07435521307216508,0.07435521307216508,0.07435521307216508,0.07435521307216508,0.07435521307216508,0.07435521307216508
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Service - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.1172941174621955,0.1172941174621955,0.1172941174621955,0.1172941174621955,0.1172941174621955,0.1172941174621955,0.1172941174621955
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Service - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.1527916255676053,0.1527916255676053,0.1527916255676053,0.1527916255676053,0.1527916255676053,0.1527916255676053,0.1527916255676053
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Riser - Outdoor - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.001063623324738865,0.001063623324738865,0.001063623324738865,0.001063623324738865,0.001063623324738865,0.001063623324738865,0.001063623324738865
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Riser - Outdoor - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.003006592262216365,0.003006592262216365,0.003006592262216365,0.003006592262216365,0.003006592262216365,0.003006592262216365,0.003006592262216365
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Riser - Outdoor - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.002566829111557169,0.002566829111557169,0.002566829111557169,0.002566829111557169,0.002566829111557169,0.002566829111557169,0.002566829111557169
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Riser - Outdoor - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.005651142102420777,0.005651142102420777,0.005651142102420777,0.005651142102420777,0.005651142102420777,0.005651142102420777,0.005651142102420777
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Riser - Outdoor - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.001124359326888962,0.001124359326888962,0.001124359326888962,0.001124359326888962,0.001124359326888962,0.001124359326888962,0.001124359326888962
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Riser - Outdoor - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.004094781020684904,0.004094781020684904,0.004094781020684904,0.004094781020684904,0.004094781020684904,0.004094781020684904,0.004094781020684904
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Riser - Outdoor - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.003563096661633027,0.003563096661633027,0.003563096661633027,0.003563096661633027,0.003563096661633027,0.003563096661633027,0.003563096661633027
GO-LOCDM,Improve Reliability/Dependability - Gas Other Equipment,Riser - Outdoor - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C005,% of Total Cost (specify to the right),0.007284920027465211,0.007284920027465211,0.007284920027465211,0.007284920027465211,0.007284920027465211,0.007284920027465211,0.007284920027465211
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Service - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.005056148473143749,0.005056148473143749,0.005056148473143749,0.005056148473143749,0.005056148473143749,0.005056148473143749,0.005056148473143749
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Service - Steel Installed < 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.01474855568448129,0.01474855568448129,0.01474855568448129,0.01474855568448129,0.01474855568448129,0.01474855568448129,0.01474855568448129
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Service - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.01394385152685625,0.01394385152685625,0.01394385152685625,0.01394385152685625,0.01394385152685625,0.01394385152685625,0.01394385152685625
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Service - Steel Installed >= 1941 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.05325144431551872,0.05325144431551872,0.05325144431551872,0.05325144431551872,0.05325144431551872,0.05325144431551872,0.05325144431551872
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Service - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.01192873769571897,0.01192873769571897,0.01192873769571897,0.01192873769571897,0.01192873769571897,0.01192873769571897,0.01192873769571897
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Service - Plastic Installed < 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.1244737805181318,0.1244737805181318,0.1244737805181318,0.1244737805181318,0.1244737805181318,0.1244737805181318,0.1244737805181318
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Service - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.02607126230428103,0.02607126230428103,0.02607126230428103,0.02607126230428103,0.02607126230428103,0.02607126230428103,0.02607126230428103
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Service - Plastic Installed >= 1985 - Population Density Low,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.2505262194818682,0.2505262194818682,0.2505262194818682,0.2505262194818682,0.2505262194818682,0.2505262194818682,0.2505262194818682
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Riser - Indoor - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.0003254088952378389,0.0003254088952378389,0.0003254088952378389,0.0003254088952378389,0.0003254088952378389,0.0003254088952378389,0.0003254088952378389
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Riser - Indoor - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.000571255534769794,0.000571255534769794,0.000571255534769794,0.000571255534769794,0.000571255534769794,0.000571255534769794,0.000571255534769794
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Riser - Indoor - Plastic Installed < 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.0005758054601994687,0.0005758054601994687,0.0005758054601994687,0.0005758054601994687,0.0005758054601994687,0.0005758054601994687,0.0005758054601994687
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Riser - Indoor - Plastic Installed >= 1985 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.001076597465392193,0.001076597465392193,0.001076597465392193,0.001076597465392193,0.001076597465392193,0.001076597465392193,0.001076597465392193
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Riser - Outdoor - Steel Installed < 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.00473073957790591,0.00473073957790591,0.00473073957790591,0.00473073957790591,0.00473073957790591,0.00473073957790591,0.00473073957790591
GO-LOCDM,Improve Reliability/System Dependability - Cut-Off Idle Gas Services,Riser - Outdoor - Steel Installed >= 1941 - Population Density High,GO-LOCDM-3_RSE Input File.xlsm,LOCDM-C006,% of Total Cost (specify to the right),0.01337259599208646,0.01337259599208646,0.01337259599208646,0.01337259599208646,0.01337259599208646,0.01337259599208646,0.01337259599208646
